1,99,54
14,1,37
16,1,2
18,1,1
20,1,28
23,1,60
26,1,11
28,1,52
30,1,50
1,2,10
4,2,38
6,2,62
8,2,22
10,2,21
12,2,13
16,2,35
18,2,27
1,3,42
4,3,26
7,3,63
9,3,14
12,3,18
14,3,6
16,3,34
18,3,56
20,3,4
22,3,51
24,3,46
26,3,58
28,3,49
30,3,40
2,4,15
4,4,63
6,4,41
8,4,45
10,4,39
12,4,19
14,4,48
16,4,25
18,4,23
20,4,53
22,4,11
24,4,57
26,4,17
28,4,8
30,4,7
2,5,58
4,5,9
6,5,13
8,5,61
10,5,10
12,5,36
14,5,33
16,5,29
19,5,30
21,5,40
24,5,63
27,5,44
29,5,57
7,6,50
9,6,52
11,6,43
13,6,60
15,6,2
17,6,47
19,6,28
21,6,37
23,6,31
25,6,11
27,6,53
29,6,59
5,7,25
10,7,41
12,7,15
14,7,43
18,7,19
20,7,16
1,8,59
4,8,32
6,8,8
8,8,64
10,8,12
13,8,24
15,8,56
17,8,20
19,8,3
21,8,65
23,8,16
25,8,44
27,8,1
2,9,41
4,9,15
6,9,39
9,9,17
11,9,25
14,9,1
16,9,63
18,9,8
23,9,19
25,9,53
27,9,23
29,9,7
1,10,56
3,10,64
5,10,32
7,10,65
10,10,44
12,10,43
14,10,20
16,10,16
18,10,24
20,10,59
2,11,21
4,11,33
6,11,10
8,11,57
10,11,36
12,11,14
14,11,30
16,11,40
18,11,32
20,11,9
22,11,61
24,11,58
26,11,44
28,11,63
30,11,29
2,12,11
5,12,63
7,12,32
9,12,20
11,12,59
13,12,8
15,12,64
17,12,56
19,12,53
21,12,44
23,12,43
25,12,24
1,13,15
3,13,41
5,13,45
7,13,39
9,13,57
11,13,17
13,13,53
15,13,48
17,13,19
19,13,25
21,13,23
23,13,7
25,13,63
27,13,8
3,14,57
5,14,58
7,14,10
9,14,9
11,14,44
14,14,36
16,14,61
19,14,33
21,14,5
23,14,63
25,14,29
27,14,30
29,14,32
1,15,36
3,15,10
6,15,5
8,15,9
10,15,63
13,15,33
15,15,21
19,15,40
21,15,61
24,15,30
27,15,29
30,15,32
2,16,35
4,16,30
6,16,21
8,16,38
10,16,22
12,16,10
14,16,62
16,16,23
2,17,64
6,17,3
8,17,12
10,17,24
12,17,1
14,17,32
16,17,59
20,17,63
23,17,53
26,17,8
29,17,20
3,18,19
5,18,23
7,18,48
10,18,17
12,18,25
14,18,8
16,18,11
18,18,57
21,18,16
23,18,39
25,18,15
27,18,43
29,18,41
1,19,38
3,19,22
5,19,10
7,19,23
9,19,62
12,19,27
14,19,35
16,19,5
20,19,21
1,20,37
3,20,50
5,20,52
7,20,11
9,20,60
11,20,31
14,20,45
16,20,47
3,21,23
6,21,16
8,21,41
10,21,15
13,21,27
16,21,19
18,21,43
21,21,39
24,21,17
26,21,7
29,21,8
2,22,24
4,22,12
6,22,32
9,22,64
11,22,45
13,22,65
15,22,44
17,22,16
21,22,56
23,22,3
25,22,20
1,23,30
4,23,5
6,23,36
8,23,10
11,23,61
14,23,9
23,23,21
2,24,10
4,24,36
6,24,63
8,24,13
10,24,33
12,24,29
14,24,44
17,24,57
19,24,61
21,24,9
23,24,32
25,24,40
10,25,25
12,25,42
14,25,40
16,25,46
18,25,26
20,25,34
22,25,6
24,25,18
26,25,4
28,25,14
30,25,56
4,26,50
6,26,52
8,26,11
10,26,43
12,26,2
1,27,2
3,27,53
5,27,57
7,27,60
9,27,45
13,27,50
15,27,20
17,27,52
19,27,31
21,27,59
23,27,11
25,27,47
29,27,28
2,28,4
4,28,56
6,28,34
8,28,58
10,28,5
12,28,26
14,28,46
16,28,6
18,28,51
20,28,42
22,28,18
8,29,29
10,29,23
12,29,48
14,29,10
16,29,62
18,29,35
20,29,5
22,29,22
24,29,38
1,30,26
3,30,46
5,30,56
7,30,6
9,30,18
11,30,40
14,30,14
16,30,51
18,30,42
20,30,25
23,30,4
25,30,58
27,30,34
29,30,49
2,31,22
4,31,27
7,31,13
12,31,38
3,32,1
5,32,41
7,32,15
9,32,48
11,32,19
13,32,23
15,32,17
2,33,63
4,33,40
6,33,25
8,33,49
10,33,58
12,33,51
14,33,4
16,33,18
18,33,46
20,33,6
22,33,34
24,33,14
26,33,56
28,33,26
30,33,42
2,34,32
4,34,8
6,34,24
8,34,56
10,34,59
12,34,44
14,34,53
16,34,3
18,34,63
20,34,12
23,34,20
25,34,45
29,34,64
1,35,53
3,35,24
7,35,8
9,35,63
11,35,64
13,35,59
15,35,32
17,35,1
19,35,44
21,35,12
23,35,56
26,35,20
30,35,3
1,36,63
3,36,18
5,36,42
7,36,26
9,36,5
11,36,6
13,36,34
15,36,40
17,36,4
19,36,46
21,36,11
23,36,56
25,36,49
27,36,58
29,36,25
2,37,2
4,37,60
7,37,20
9,37,1
12,37,53
3,38,51
5,38,11
7,38,25
9,38,58
11,38,4
14,38,26
16,38,42
18,38,13
21,38,56
23,38,46
25,38,34
27,38,40
29,38,6
6,39,28
9,39,47
11,39,50
13,39,52
15,39,11
17,39,60
20,39,37
23,39,2
25,39,43
27,39,31
29,39,53
2,40,65
4,40,24
7,40,1
9,40,44
11,40,32
13,40,20
