6853,6813,7318,7259,7493,7496,7518,9387,9735,9625,10081,10056,10324,10227,10598,10428,0,10645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6679,7259,6853,6813,7318,7479,7493,7496,7518,9387,9483,9625,9735,10056,10081,10227,10324,10428,10598,10645,6649,6638,6730,6739,7079,7250,7091,7336,7134,7494,9540,9603,9781,9783,9907,9981,10083,10466,10343,18667,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976,7045,7152,7164,7266,7492,9543,9824,9720,10037,9832,10708,10678,4300,7019,7009,10128,7465,10449,10147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,6638,6730,6739,7091,7079,7134,7250,7494,7336,9540,9603,9781,9783,9907,9981,10083,10466,10343,18667,25083,4300,5929,6688,6716,6904,6927,7009,7019,7036,7051,7161,7205,7465,9564,9712,9965,10122,10128,10147,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7035,6736,6737,6873,6909,7071,7151,7204,7270,7273,7363,7482,7489,7522,9434,9519,9523,9604,9660,9809,9870,10148,10286,6638,6649,6678,6730,6739,6756,7008,7053,7079,7091,7108,7134,7158,7206,7250,7281,7336,7494,7530,9448,9506,9540,9603,9781,9783,9907,9981,9991,10064,10083,10210,10289,10315,10343,10466,10501,10606,18492,18667,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7152,6723,6976,7045,7240,7164,7266,7264,9543,7492,9720,9698,9832,9824,10503,10037,10678,10657,0,10708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6737,6873,7035,6736,7151,7204,6909,7071,7363,7482,7270,7273,9434,9519,7489,7522,9660,9809,9523,9604,10286,6678,9870,10148,6756,7008,7053,7108,7206,7158,7281,7530,9448,9506,9991,10064,10289,10210,10501,10315,18492,10606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7266,7164,9832,7492,7152,7045,10678,9698,7019,9824,7205,10037,9564,10657,9965,10708,10449,6688,0,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6730,6739,6649,6638,7134,7250,7091,7079,9540,9603,7494,7336,9907,9981,9781,9783,10343,18667,10083,10466,0,0,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7318,9387,7493,10227,6853,10428,9735,10645,10081,7161,10324,0,10598,0,7205,0,9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5929,4300,6716,6688,6927,6904,7019,7009,7051,7036,9564,7161,7205,7465,10128,9712,9965,10122,10147,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7091,7071,7134,9604,6649,6873,9540,6638,9781,7079,25083,9783,0,10466,0,0,0,9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7134,7079,7091,7250,6730,6638,6649,6739,9907,9783,9781,9981,7494,7336,9540,9603,10466,10083,18667,10343,0,0,0,0,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7493,7479,6679,7496,7518,6813,6853,7259,7318,10056,9735,9387,9483,9625,10324,10598,10081,10227,10645,10428,7035,6736,6737,6873,6909,7071,7151,7204,7270,7273,7363,7482,9519,7522,9523,9604,9870,9809,10286,10148,5929,4300,6716,6688,6904,7009,6927,7036,7019,7051,7205,7161,9564,7465,9712,10122,9965,10147,10128,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7494,7250,9540,7079,9781,6739,6730,7336,6649,6638,7091,10343,7134,9603,10083,10466,9907,9783,25083,9981,0,18667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7240,7264,7266,6723,6976,9698,7152,7045,9832,7164,9543,7492,9720,10037,10678,9824,10503,10708,7489,10657,9434,6756,9660,6678,7008,7108,7206,7158,7053,7281,9448,9506,9991,7530,10064,10210,10501,10315,10289,10606,0,0,18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9543,9824,7489,10645,9832,6678,9434,6813,7152,7071,9660,6739,6730,7008,6756,7108,7053,7158,7206,7281,9448,7530,9540,9506,9981,10064,9991,10210,10289,10315,10501,10606,18492,7161,7051,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6909,7204,7151,7071,7035,6736,6737,6873,9523,7522,9604,9519,7270,7273,7363,7482,9809,10148,9870,10286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7151,7273,6909,7204,6737,7482,7035,6736,9870,6873,9523,7071,7363,9604,7270,9809,10148,7522,10286,9519,5929,6688,6716,4300,6904,7009,7019,7036,6927,7051,7161,7465,9564,9712,7205,10147,10128,10449,9965,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7270,7522,9434,7273,9870,9604,10286,9809,6909,10148,7053,7008,10501,7530,18492,9506,0,10064,0,10606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9483,7492,9660,9698,6679,9824,7489,10657,7266,7479,6756,7079,7091,7108,9448,9991,9781,9603,9981,9783,10289,10315,6904,10466,5929,7036,10122,7465,10128,9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7363,7482,7270,7522,9523,7273,9604,9519,7035,6736,6737,6873,6909,7071,7151,7204,9870,10286,9809,10148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9523,9519,7363,7482,7270,7522,9809,7273,6737,7204,7035,6736,7151,6873,6909,7071,9604,9870,10148,0,0,0,0,0,10286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503,9698,7240,7264,5929,6723,6716,6688,6927,10657,7051,6904,9965,7036,9564,7161,7205,9712,0,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6716,6688,5929,4300,7019,7009,6927,6904,7205,7465,9965,7036,7051,7161,10147,10122,0,10128,9564,9712,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7522,9604,9523,9519,7363,9809,7270,7482,7151,9870,6909,7204,7035,6736,6737,6873,10286,7071,4300,7273,10148,5929,6688,6716,6927,7019,7036,6904,7051,7009,7205,9564,7161,9965,7465,10128,10122,9712,10147,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7273,9523,7482,9809,10148,9519,7363,7522,10286,9604,7151,9870,6737,7204,7035,6736,6909,6873,7270,7071,6638,6739,6649,7079,6730,7336,7134,7250,7091,9603,7494,9783,9540,9907,9781,10466,10343,9981,10083,0,0,18667,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9720,10037,9543,9824,10503,7264,6976,6723,7240,7045,7152,7164,7266,7492,9832,9698,10657,6813,10678,7259,6679,10708,6853,7479,7318,7496,7493,9387,7518,9483,9735,9625,10081,10056,10227,10428,10324,10645,10598,7035,6737,6736,6909,6873,7071,7204,7151,7273,7270,7363,9519,7482,9523,7522,9604,9809,9870,10148,10286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7489,6678,6756,7008,9434,7108,9660,7158,7053,7530,7206,9506,7281,10064,9991,10210,9448,10315,10289,10501,18492,10606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6927,6904,7019,7009,6716,4300,5929,7036,9564,6688,10122,7465,10128,9712,7051,9965,10147,7161,7205,0,0,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7071,6909,7204,7270,9660,7363,9523,9604,9434,9519,9809,7522,9870,7482,10148,7273,7035,6736,6737,6873,6678,10286,6638,6730,6739,7053,7250,7008,7281,7079,7091,7108,7206,7158,7336,7530,7494,9506,9540,9603,9781,9783,9907,9981,9991,10064,10083,10210,10289,10315,10343,10466,10501,10606,18492,18667,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9832,9625,9720,10037,10678,7259,7240,10227,6976,6723,10503,7264,6853,9387,7318,10324,9735,4300,10081,7009,6716,10428,6927,10645,7051,7161,7205,10147,9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,10708,9483,7479,9543,6688,6679,7164,5929,6813,6716,7045,7152,6904,6927,4300,7051,7036,9712,7465,9965,10122,10128,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6873,7151,7071,6909,7273,7270,7482,7363,7522,9809,9519,9604,9523,10148,9870,10286,6737,7204,7035,6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6736,7035,6873,6737,7071,10148,7522,7270,7482,7363,9870,9809,9519,10286,9523,9604,7151,7273,6909,7204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434,7008,7053,6678,7489,7158,6756,7108,9660,9506,7281,7530,7206,10210,10289,10064,9991,10501,9448,10315,0,0,18492,10606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9540,7336,7494,9603,9907,9783,9781,9981,6730,6739,6649,6638,10083,7079,7091,7250,7134,10343,10466,25083,0,0,0,18667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781,9603,9907,7336,7494,9981,10083,9783,7091,7250,6730,10466,6649,6638,7134,6739,9540,7079,0,0,10343,25083,18667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204,6737,6736,7035,6873,6909,7071,9523,7273,10286,10148,7363,9604,9809,9519,9870,7270,7482,7151,7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9660,7108,7206,7158,6756,7008,7053,6678,7489,10064,9434,10210,9448,9506,7281,7530,10289,10606,9991,0,10501,0,0,10315,18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7518,7496,10503,9387,9483,9625,7318,7479,6679,7264,6976,6813,7240,7259,9543,9735,6853,10056,7493,10081,10324,10227,10598,10428,10645,4300,5929,6927,6716,6904,7465,7009,7051,7036,9712,0,10147,10128,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756,7158,7281,7108,7053,7530,7206,7008,9448,6678,7489,9991,9660,10289,10210,10315,9434,9506,10501,10064,10606,18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10678,10657,0,10708,9720,10037,9832,7492,10503,9698,7240,6723,6976,7045,7152,7164,7266,7264,9543,9824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7053,7530,9448,9506,7206,10064,7281,10210,6756,7008,9991,6678,10289,7158,9660,10606,7489,7108,9434,18492,10315,0,10501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907,9783,9781,9981,9540,7336,7494,9603,7134,10466,10083,7250,10343,6739,6649,6638,6730,25083,7091,7079,18667,6716,4300,5929,6688,6927,6904,7019,7009,7161,9564,7036,9965,7051,10122,7465,7205,10147,10449,9712,10128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7281,9434,9991,9660,10289,9506,18492,10064,0,7158,0,10315,7053,6678,0,0,0,10210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7492,9832,9698,10503,9387,10657,9720,10037,10678,10708,7266,9824,9543,6723,6976,7045,7152,7164,7240,7264,6853,6813,6679,7259,7493,7479,7318,7496,9483,7518,10081,10056,9735,9625,10324,10227,10598,10428,7489,10645,9434,6678,9660,7008,6756,7108,7053,7158,7206,7281,9448,7530,9991,9506,10064,10210,10289,10315,10606,10501,0,0,18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9965,0,7518,0,10449,10708,9483,0,0,0,6679,7479,7019,7164,0,6813,0,7045,7152,6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9735,10227,10081,9625,10324,9387,10449,10428,6853,7259,7318,10645,0,6688,0,0,7019,10037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,7489,7079,9434,7281,9660,7336,7091,7206,7108,7134,7158,6756,7250,6730,6678,6649,6638,7053,6739,7494,9506,9448,7530,9540,9603,9781,9783,9907,9981,9991,10064,10083,10210,10289,10315,18492,10343,18667,10466,10501,5929,4300,10606,25083,6688,6716,6904,6927,7009,7019,7036,7051,7161,7205,7465,9564,9712,9965,10122,10128,10147,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,7270,7273,7151,6736,7035,6873,6737,7071,6909,7204,9523,7522,9870,9809,10148,7363,9519,6638,7482,6730,6649,6739,10286,7091,7079,7336,7134,7494,7250,9781,9907,9783,9603,9540,10083,25083,18667,0,9981,10343,10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7051,7009,6927,6904,7161,7036,7205,4300,6716,9564,5929,6688,9712,9965,10122,7465,0,10147,7019,10128,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,9660,9506,7489,9448,9434,9991,7530,7281,10210,10064,7108,10606,10315,7053,7008,6756,6678,18492,7158,0,0,10289,0,10501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10598,9543,0,10056,0,10147,10503,0,7493,7496,7518,7009,0,7264,7240,6723,6976,0,9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,9809,7522,9523,7204,6737,6736,7035,6873,7151,7071,6909,7273,7270,9604,7489,9519,9434,7363,9660,6756,7008,10148,7053,9870,7158,10286,6678,7530,7108,7206,10210,7281,10064,9448,9506,9991,10289,10315,10501,10606,6688,5929,4300,18492,6904,7009,6927,6716,7019,7051,7205,7161,7036,7465,9712,10122,9965,9564,10128,10449,0,0,10147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,10056,9735,10428,10598,10227,10324,9625,9483,10645,6853,7259,6679,6813,7493,7479,7318,7496,7518,9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9809,10428,9604,10148,7522,10606,7273,7205,10289,7035,6873,0,6716,7479,0,7259,7240,7250,7281,10037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083,10466,10598,9783,18492,10056,7465,10708,0,18667,0,0,5929,9698,9720,7264,7206,6723,9781,7492,6909,7079,7151,9603,7053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7250,6730,7336,7134,9783,9603,9907,9781,10083,9981,10343,18667,9540,25083,7494,7079,7091,6739,6649,6638,0,10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479,9483,9625,10598,9735,10645,10081,10056,10324,10227,7493,7496,7318,10428,6679,9387,7518,7259,6853,6813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6638,7363,6739,6649,7108,7151,7158,7489,7250,7270,7273,9434,9506,9660,7206,7091,7281,7494,6756,6678,9540,9783,9781,9981,9448,10210,10083,10289,9991,10343,25083,10466,0,18667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824,10148,10037,10657,7259,10286,9625,6909,10056,6737,10678,7035,6736,7496,7266,7492,9720,9698,9832,6723,7151,7204,7363,7482,7489,7522,9523,9519,9870,9809,6730,6739,6756,7250,7206,7336,9448,7530,9603,9907,10083,0,10343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9519,6649,6638,9540,6739,9523,7204,7151,6736,7134,9907,0,0,18667,0,7336,7494,0,6730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6678,6756,7108,6730,6638,7489,6739,9434,7079,9660,7530,6649,9783,7053,10064,7158,10210,7008,7134,7091,7206,7250,7281,7336,7494,9506,9448,9603,9540,9781,9907,9981,10289,9991,10083,10343,10315,10501,10466,18492,4300,25083,10606,18667,5929,6716,7019,6688,7036,6904,6927,7009,7205,9564,7051,7161,10128,7465,10147,9712,9965,10122,0,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7205,7019,7051,7036,9564,7161,9965,7465,10122,4300,6927,9712,10147,7009,5929,6688,6716,6904,10128,0,0,0,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6723,7152,7164,7240,7264,7266,9698,9720,9824,9832,10037,10657,10503,10678,10708,5929,9543,7492,6976,7045,4300,6904,7009,6927,7019,6688,6716,7051,7036,7205,9965,9712,7465,9564,7161,0,10449,0,0,0,0,10122,10128,10147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9870,7318,10286,9735,7008,9907,7108,9506,6688,9523,6904,10227,7518,7019,6853,10657,6679,7009,10503,7496,10128,7036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6688,7036,7009,7161,7051,7205,9564,9712,7465,6904,7019,4300,6927,10122,6716,10128,5929,10449,9965,0,0,10147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6813,6853,7259,7318,10056,9735,9387,10081,10227,10324,10598,10428,7493,10645,7518,7496,9483,7479,6679,9625,6737,6873,7035,6736,7151,7204,6909,7071,7273,7270,9519,7522,7363,7482,9870,9809,9523,9604,10148,10286,6649,6638,6730,6739,7079,7250,7091,7336,7134,7494,9540,9603,9781,9783,9907,9981,10083,18667,10343,10466,25083,4300,5929,6688,6716,6904,6927,7009,7019,7036,7051,7161,7205,7465,9564,9712,9965,10122,10128,10147,10449,,,,,,,,,,,,,,,,,,,,,,,,,,
7045,6976,6723,7152,7492,7240,7264,9543,9698,9720,10657,10503,10037,10708,4300,10678,9832,9824,7266,7164,6927,7009,7019,6904,7036,6716,7051,6688,5929,7465,9712,10122,10128,10147,9965,7161,9564,0,7205,0,0,0,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6739,7053,6678,6756,7079,6649,6638,9660,7108,7489,7158,6730,7530,9434,9603,7134,9981,7091,7494,7008,7281,7336,7206,7250,9781,9783,9540,9506,9448,9907,10064,9991,10210,10083,10315,10289,10466,10606,18492,10343,18667,0,10501,25083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7164,9991,10324,7530,10081,10343,9519,6649,6638,25083,6736,7270,7482,10449,9483,0,6678,9387,10064,4300,0,9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7079,7091,9603,7494,9981,6730,9783,7134,6739,6649,6638,9781,10466,9907,10343,10083,18667,7336,9540,7250,6904,6927,7036,25083,4300,5929,7009,6716,7161,6688,7019,7051,9712,7205,10128,9965,0,7465,9564,0,0,10147,0,10122,10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,6716,6688,7019,7205,7465,7051,7161,9712,7009,10128,9564,10122,10147,10449,6904,6927,9965,5929,7036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7259,6679,6813,6853,7496,7518,10056,9483,9387,10428,10227,10324,10081,10598,9735,9625,7493,0,7318,7479,0,10645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,7493,7479,6679,6813,6853,7259,7318,10428,7518,9387,9735,10645,10081,6678,10056,10598,9625,9483,10227,7489,9660,10324,6756,9434,7206,7008,7053,7108,7530,9506,7158,10501,9448,7281,10606,0,10064,9991,10210,10289,10315,0,18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10286,7134,9809,10501,7482,0,9870,10148,9604,10606,7522,6737,6873,6909,7071,0,7008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
